         Part Number       Quantity   Unit Cost  Unit Price     Total Cost    Total Price
            34171236              19        24.01        29.29          456.19          556.51
            17327188              41        23.79        28.18          975.39         1155.38
            28166727               8        17.58        23.34          140.64          186.72
            24467721               3        15.72        21.71           47.16           65.13
            39421903              19        10.45        16.29          198.55          309.51
            85598406              64        10.32        14.12          660.48          903.68
            26383509              27        22.91        27.15          618.57          733.05
            25725760              15        26.82        32.17          402.30          482.55
            12968942              80        18.72        22.47         1497.60         1797.60
            72216160               2        10.67        14.72           21.34           29.44
            80581530              95        11.64        15.99         1105.80         1519.05
            21098319              27        16.73        20.84          451.71          562.68
            79900665              22        21.35        24.99          469.70          549.78
            38932471              34        12.93        17.33          439.62          589.22
            74627727              31        23.93        28.06          741.83          869.86
            86232263              80        11.06        14.93          884.80         1194.40
            38280325              17        12.94        16.01          219.98          272.17
            34751590              46        12.60        16.52          579.60          759.92
            64382696              86        15.98        20.57         1374.28         1769.02
            55371335              27        18.18        23.50          490.86          634.50
            40176566              78        23.29        29.24         1816.62         2280.72
            64463514               1        15.90        19.22           15.90           19.22
            34763532              86        15.68        21.17         1348.48         1820.62
            80101956              97        23.40        28.25         2269.80         2740.25
            80955309               3        16.51        20.07           49.53           60.21
            31396612              63        15.52        21.11          977.76         1329.93
            13045439              80        20.24        24.00         1619.20         1920.00
            52700852              67        28.70        31.79         1922.90         2129.93
            75268158              29        13.03        18.84          377.87          546.36
            39458442              23        20.49        26.06          471.27          599.38
            77086674              85        18.06        23.88         1535.10         2029.80
            78039357              82        16.45        22.40         1348.90         1836.80
            86578282              36        29.59        33.51         1065.24         1206.36
            80858072              98        13.32        16.89         1305.36         1655.22
            24955147             100        15.08        20.76         1508.00         2076.00
            79195238              21        11.38        15.86          238.98          333.06
            47553915              25        19.60        25.24          490.00          631.00
            76427814              70        21.25        24.36         1487.50         1705.20
            66992188              85        29.40        33.97         2499.00         2887.45
            33483040              55        24.25        28.48         1333.75         1566.40
            49336268              99        15.02        18.51         1486.98         1832.49
            11303142              47        10.56        16.35          496.32          768.45
            46318094              53        13.39        18.74          709.67          993.22
            50536431              89        26.48        29.98         2356.72         2668.22
            38944334              93        13.73        18.51         1276.89         1721.43
            47578754              90        26.20        30.44         2358.00         2739.60
            21291543              84        21.88        27.76         1837.92         2331.84
            31917171              58        23.27        27.29         1349.66         1582.82
            43416112              72        25.53        28.62         1838.16         2060.64
            78206035              11        25.00        30.19          275.00          332.09
            77430412              70        29.20        34.45         2044.00         2411.50
            71351528              91        18.02        21.76         1639.82         1980.16
            22231544              65        23.11        28.16         1502.15         1830.40
            73638310              31        14.74        19.35          456.94          599.85
            15963630               5        29.36        32.93          146.80          164.65
            58485457               5        23.64        28.18          118.20          140.90
            66314342              42        21.79        27.58          915.18         1158.36
            85699185              26        13.43        19.23          349.18          499.98
            85466608              62        12.70        16.12          787.40          999.44
            41818150              51        13.22        18.99          674.22          968.49
            37303335              98        14.00        19.04         1372.00         1865.92
            75529079              28        29.27        33.08          819.56          926.24
            43715790              31        27.98        31.68          867.38          982.08
            75724437              74        23.26        26.87         1721.24         1988.38
            81982758              56        10.68        14.84          598.08          831.04
            66028170              21        17.59        23.57          369.39          494.97
            48635725              21        18.82        23.72          395.22          498.12
            57630177              38        26.52        29.81         1007.76         1132.78
            27972823              12        28.73        32.17          344.76          386.04
            43548519              44        13.50        16.95          594.00          745.80
            27640169              59        10.52        15.35          620.68          905.65
            74375297              31        12.28        18.21          380.68          564.51
            80924508              94        23.82        28.14         2239.08         2645.16
            35537534              60        27.18        32.16         1630.80         1929.60
            56411306              64        10.97        16.64          702.08         1064.96
            86012790               1        11.18        15.75           11.18           15.75
            60027243              72        19.48        24.93         1402.56         1794.96
            60683021               2        18.36        23.75           36.72           47.50
            11531675              85        10.99        16.11          934.15         1369.35
            70692724               6        19.41        22.88          116.46          137.28
            62111634               1        16.41        19.97           16.41           19.97
            14366464              32        10.12        15.81          323.84          505.92
            16224831              41        11.63        16.47          476.83          675.27
            70178351               1        19.18        24.56           19.18           24.56
            29257517              83        10.76        13.93          893.08         1156.19
            22307784              99        14.22        19.97         1407.78         1977.03
            44481271              78        27.03        32.21         2108.34         2512.38
            44928407              38        14.42        20.03          547.96          761.14
            49996948              32        21.50        26.64          688.00          852.48
            67317709              16        10.27        15.03          164.32          240.48
            69730813              84        12.39        17.64         1040.76         1481.76
            43151607              65        13.59        19.16          883.35         1245.40
            56827836              55        15.74        20.17          865.70         1109.35
            48583427              80        15.99        20.68         1279.20         1654.40
            31641263              48        20.95        26.17         1005.60         1256.16
            74877073              90        19.64        22.65         1767.60         2038.50
            40160899              46        10.83        14.53          498.18          668.38
            58759637              78        15.20        18.21         1185.60         1420.38
            69855441              96        15.56        18.77         1493.76         1801.92
            60716308              47        20.86        26.78          980.42         1258.66
            32728517              82        15.43        19.58         1265.26         1605.56
            27240862              43        28.12        31.28         1209.16         1345.04
            70178351               1        19.18        24.56           19.18           24.56
            53717044              66        16.04        20.59         1058.64         1358.94
            46182485              57        11.19        15.73          637.83          896.61
            85598406              64        10.32        14.12          660.48          903.68
            40278707              84        20.15        24.30         1692.60         2041.20
            77086674              85        18.06        23.88         1535.10         2029.80
            15388347              59        27.85        32.62         1643.15         1924.58
            79195238              21        11.38        15.86          238.98          333.06
            23026496              35        20.95        24.90          733.25          871.50
            58485457               5        23.64        28.18          118.20          140.90
            78122228              85        13.73        18.55         1167.05         1576.75
            67515582              61        17.43        20.59         1063.23         1255.99
            58759637              78        15.20        18.21         1185.60         1420.38
            60410146              21        26.93        32.34          565.53          679.14
            75647204              28        19.39        24.87          542.92          696.36
            42770709              50        12.19        15.44          609.50          772.00
            80101956              97        23.40        28.25         2269.80         2740.25
            21094940              53        12.59        17.31          667.27          917.43
            71852096              57        26.92        30.71         1534.44         1750.47
            55263273              42        18.62        22.22          782.04          933.24
            77086936              79        19.91        25.81         1572.89         2038.99
            56884152               4        15.70        21.26           62.80           85.04
            37413158              28        28.57        33.34          799.96          933.52
            72771191               3        17.78        23.31           53.34           69.93
            88550476              20        21.62        24.86          432.40          497.20
            77189549              21        21.15        24.64          444.15          517.44
            61965647              88        24.88        29.03         2189.44         2554.64
            57667879              22        16.21        22.04          356.62          484.88
            44735928               9        27.18        31.76          244.62          285.84
            27470967              10        16.17        20.36          161.70          203.60
            41555059              44        27.38        32.97         1204.72         1450.68
            50310242              84        10.30        13.80          865.20         1159.20
            81912584              99        26.86        31.94         2659.14         3162.06
            65537294              64        21.96        27.57         1405.44         1764.48
            32895121              61        28.99        32.57         1768.39         1986.77
            55842246              48        15.98        21.43          767.04         1028.64
            30174319              22        29.51        33.43          649.22          735.46
            29691501              57        22.78        28.28         1298.46         1611.96
            40749682              96        14.45        19.50         1387.20         1872.00
            60410146              21        26.93        32.34          565.53          679.14
            59333352              73        25.88        29.43         1889.24         2148.39
            17103483              86        24.10        27.36         2072.60         2352.96
            56886748              18        24.94        30.92          448.92          556.56
            28062267              47        14.68        18.06          689.96          848.82
            62283911               7        15.50        21.11          108.50          147.77
            61677125              39        27.05        32.57         1054.95         1270.23
            72591229              27        15.58        20.41          420.66          551.07
            76502369               7        12.35        16.47           86.45          115.29
            47216256              83        24.21        30.02         2009.43         2491.66
            38334221               7        26.57        32.06          185.99          224.42
            66125098              44        22.44        28.41          987.36         1250.04
            82701870              86        10.09        15.23          867.74         1309.78
            82011078              13        18.39        23.28          239.07          302.64
            81735019              16        25.51        31.43          408.16          502.88
            71912539               9        13.96        19.25          125.64          173.25
            17559533              50        24.91        30.57         1245.50         1528.50
            18659990              43        15.01        20.76          645.43          892.68
            35071419              50        18.92        22.88          946.00         1144.00
            15917508              81        28.92        31.96         2342.52         2588.76
            79065482              77        15.63        21.13         1203.51         1627.01
            63435178              55        22.04        27.16         1212.20         1493.80
            34549045               7        13.67        16.67           95.69          116.69
            78629863               8        24.51        28.31          196.08          226.48
            62963680              36        17.16        22.50          617.76          810.00
            43510588              29        25.05        29.18          726.45          846.22
            29134137              49        13.61        18.81          666.89          921.69
            64418724               9        21.15        25.22          190.35          226.98
            46738486              38        14.87        19.44          565.06          738.72
            53904146              33        29.37        35.22          969.21         1162.26
            81296480              90        25.59        31.13         2303.10         2801.70
            45136408               2        12.71        15.71           25.42           31.42
            84001619               3        20.58        24.48           61.74           73.44
            59128090              11        16.39        20.12          180.29          221.32
            43777863              67        16.83        20.60         1127.61         1380.20
            81379037              14        27.74        31.56          388.36          441.84
            55473817              57        19.13        22.13         1090.41         1261.41
            17358405              66        15.82        21.08         1044.12         1391.28
            61130267              34        10.88        14.34          369.92          487.56
            29435965              39        25.28        31.23          985.92         1217.97
            30739126              14        27.83        33.29          389.62          466.06
            38072280              17        22.95        28.65          390.15          487.05
            14379934              45        29.70        33.17         1336.50         1492.65
            21390393              99        10.14        14.09         1003.86         1394.91
            34189844              93        16.77        20.93         1559.61         1946.49
            47296985               1        10.99        15.81           10.99           15.81
            86578282              36        29.59        33.51         1065.24         1206.36
            80858072              98        13.32        16.89         1305.36         1655.22
            24955147             100        15.08        20.76         1508.00         2076.00
            47553915              25        19.60        25.24          490.00          631.00
            66992188              85        29.40        33.97         2499.00         2887.45
            38944334              93        13.73        18.51         1276.89         1721.43
            73638310              31        14.74        19.35          456.94          599.85
            81982758              56        10.68        14.84          598.08          831.04
            56411306              64        10.97        16.64          702.08         1064.96
            22307784              99        14.22        19.97         1407.78         1977.03
            74877073              90        19.64        22.65         1767.60         2038.50
            23026496              35        20.95        24.90          733.25          871.50
            21094940              53        12.59        17.31          667.27          917.43
            57667879              22        16.21        22.04          356.62          484.88
            29691501              57        22.78        28.28         1298.46         1611.96
            66125098              44        22.44        28.41          987.36         1250.04
            79900665              22        21.35        24.99          469.70          549.78
            34751590              46        12.60        16.52          579.60          759.92
            34763532              86        15.68        21.17         1348.48         1820.62
            59189425              89        22.54        27.43         2006.06         2441.27
            49263193              93        29.39        34.89         2733.27         3244.77
            43051474              81        20.39        25.20         1651.59         2041.20
            75630018              41        10.08        15.68          413.28          642.88
            34092153               3        23.76        29.20           71.28           87.60
            32945551              21        21.25        26.10          446.25          548.10
            31187804              66        20.23        25.46         1335.18         1680.36
            59189425              89        22.54        27.43         2006.06         2441.27
            20766559              15        17.28        21.88          259.20          328.20
            63689991              40        26.49        31.87         1059.60         1274.80
            22877827               6        16.46        21.19           98.76          127.14
            75541722              78        22.80        25.97         1778.40         2025.66
            49263193              93        29.39        34.89         2733.27         3244.77
            73831091              86        25.67        30.20         2207.62         2597.20
            88301639              13        23.37        27.32          303.81          355.16
            37195393              94        25.99        29.97         2443.06         2817.18
            43548519              44        13.50        16.95          594.00          745.80
            52614745              37        22.62        28.25          836.94         1045.25
            52968876              99        11.77        17.62         1165.23         1744.38
            15555649              71        18.67        22.08         1325.57         1567.68
            57630177              38        26.52        29.81         1007.76         1132.78
            36473623              16        15.21        19.89          243.36          318.24
            67167784               7        20.82        24.08          145.74          168.56
            44544249               3        26.55        30.19           79.65           90.57
            66028170              21        17.59        23.57          369.39          494.97
            42884653              91        15.56        19.32         1415.96         1758.12
            24388225              28        17.90        22.64          501.20          633.92
            22442765              20        14.24        18.39          284.80          367.80
            11587650              37        10.76        14.92          398.12          552.04
            48509677               4        25.20        29.71          100.80          118.84
            19121129              99        11.37        14.84         1125.63         1469.16
            55000517              95        11.84        15.36         1124.80         1459.20
            57978117              10        28.15        33.61          281.50          336.10
            58782510              80        21.90        25.49         1752.00         2039.20
            85941566              18        21.95        27.00          395.10          486.00
            18977685              81        16.39        20.36         1327.59         1649.16
            88550476              20        21.62        24.86          432.40          497.20
            75724437              74        23.26        26.87         1721.24         1988.38
            28458648              97        19.67        22.73         1907.99         2204.81
            65014865              54        28.95        34.28         1563.30         1851.12
            75529079              28        29.27        33.08          819.56          926.24
            64853503              41        12.51        16.82          512.91          689.62
            31050885              78        18.33        21.95         1429.74         1712.10
            13174473              91        29.75        35.68         2707.25         3246.88
            75799058              31        25.89        30.75          802.59          953.25
            81252880              16        14.36        18.04          229.76          288.64
            59142280              97        20.84        25.19         2021.48         2443.43
            87209284              91        27.20        31.42         2475.20         2859.22
            41818150              51        13.22        18.99          674.22          968.49
            88189478              86        15.24        19.55         1310.64         1681.30
            73556705              24        21.20        25.96          508.80          623.04
            38917581              77        26.47        31.07         2038.19         2392.39
            66314342              42        21.79        27.58          915.18         1158.36
            62839762              93        14.75        20.19         1371.75         1877.67
            27176633              51        12.76        16.22          650.76          827.22
            34307586              41        18.20        24.14          746.20          989.74
            23375463              13        15.85        20.15          206.05          261.95
            72660734              37        22.74        27.19          841.38         1006.03
            21523085              56        18.54        22.90         1038.24         1282.40
            54404663              50        25.23        29.16         1261.50         1458.00
            79902221              71        22.07        25.66         1566.97         1821.86
            63798705              29        25.13        30.85          728.77          894.65
            32407988              15        28.85        34.65          432.75          519.75
            50019335              63        18.86        23.04         1188.18         1451.52
            16618211              24        17.44        20.78          418.56          498.72
            41989446              16        22.21        27.26          355.36          436.16
            68849001              21        11.90        15.56          249.90          326.76
            15039599               1        21.53        26.95           21.53           26.95
            40036792              65        17.31        23.16         1125.15         1505.40
            33429908              40        26.09        30.14         1043.60         1205.60
            13045439              80        20.24        24.00         1619.20         1920.00
            31396612              63        15.52        21.11          977.76         1329.93
            63689991              40        26.49        31.87         1059.60         1274.80
            43891580              46        11.44        16.13          526.24          741.98
            40176566              78        23.29        29.24         1816.62         2280.72
            21390393              99        10.14        14.09         1003.86         1394.91
            38280325              17        12.94        16.01          219.98          272.17
            31761910              89        17.84        23.01         1587.76         2047.89
            43416112              72        25.53        28.62         1838.16         2060.64
            75541722              78        22.80        25.97         1778.40         2025.66
            22877827               6        16.46        21.19           98.76          127.14
            63689991              40        26.49        31.87         1059.60         1274.80
            77430412              70        29.20        34.45         2044.00         2411.50
            17327188              41        23.79        28.18          975.39         1155.38
            59474045              55        11.99        16.72          659.45          919.60
            75724437              74        23.26        26.87         1721.24         1988.38
            52700852              67        28.70        31.79         1922.90         2129.93
            13045439              80        20.24        24.00         1619.20         1920.00
            31396612              63        15.52        21.11          977.76         1329.93
            20766559              15        17.28        21.88          259.20          328.20
            32827437               8        20.49        24.73          163.92          197.84
            80955309               3        16.51        20.07           49.53           60.21
            40176566              78        23.29        29.24         1816.62         2280.72
            64463514               1        15.90        19.22           15.90           19.22
            55371335              27        18.18        23.50          490.86          634.50
            49300488              61        10.69        16.28          652.09          993.08
            73833666              69        21.75        26.11         1500.75         1801.59
            41818150              51        13.22        18.99          674.22          968.49
            75647204              28        19.39        24.87          542.92          696.36
            49052689              79        23.14        27.68         1828.06         2186.72
            38561693              47        18.00        22.00          846.00         1034.00
            31081490               1        20.71        24.06           20.71           24.06
            63758855              39        11.25        14.70          438.75          573.30
            77465093              70        16.94        22.83         1185.80         1598.10
            80767659              23        26.89        31.88          618.47          733.24
            37948824              62        25.06        28.67         1553.72         1777.54
            28560733              85        29.66        34.80         2521.10         2958.00
            16768461              35        10.07        15.28          352.45          534.80
            35537534              60        27.18        32.16         1630.80         1929.60
            86012790               1        11.18        15.75           11.18           15.75
            53016903              16        11.19        15.79          179.04          252.64
            72874936               5        18.34        22.96           91.70          114.80
            59333352              73        25.88        29.43         1889.24         2148.39
            61965647              88        24.88        29.03         2189.44         2554.64
            74375297              31        12.28        18.21          380.68          564.51
            12880478              18        24.61        30.20          442.98          543.60
            54979164              83        21.06        25.15         1747.98         2087.45
            65915441              71        18.19        24.01         1291.49         1704.71
            73556705              24        21.20        25.96          508.80          623.04
            43548519              44        13.50        16.95          594.00          745.80
            85466608              62        12.70        16.12          787.40          999.44
            82701870              86        10.09        15.23          867.74         1309.78
            55371335              27        18.18        23.50          490.86          634.50
            18977685              81        16.39        20.36         1327.59         1649.16
            64382696              86        15.98        20.57         1374.28         1769.02
            38280325              17        12.94        16.01          219.98          272.17
            46182485              57        11.19        15.73          637.83          896.61
            37948824              62        25.06        28.67         1553.72         1777.54
            59142280              97        20.84        25.19         2021.48         2443.43
            81252880              16        14.36        18.04          229.76          288.64
            75799058              31        25.89        30.75          802.59          953.25
            34307586              41        18.20        24.14          746.20          989.74
            41610696               9        14.03        17.30          126.27          155.70
            85941566              18        21.95        27.00          395.10          486.00
